2021-12-12 10:32:44.6959 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:32:52.2190 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:32:49","MessageId":"c43f746e-12c0-4d5a-821f-f346453ae94f","ClientId":"3276edd1-b248-4209-9b57-4f42a5a8ab35","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"-K6I28P0863MUHMV418VOZGZ4AQ6R8I0JSHWTMHOYCP33IHZOV8R0-0KEGO1STIAYCCBA0BRUT8LKN7W41S6-1AK37SN8Q7F4OF0FGZYUQ7HCOA2J381BMA7C3IDIZTD"} | 
2021-12-12 10:32:52.2948 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto ={"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:32:52","MessageId":"b9df6641-ec7f-47b3-950f-96d0dc295f4e","ClientId":"3276edd1-b248-4209-9b57-4f42a5a8ab35","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"-K6I28P0863MUHMV418VOZGZ4AQ6R8I0JSHWTMHOYCP33IHZOV8R0-0KEGO1STIAYCCBA0BRUT8LKN7W41S6-1AK37SN8Q7F4OF0FGZYUQ7HCOA2J381BMA7C3IDIZTD"} | 
2021-12-12 10:32:52.2948 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =p2CzFthvU5wBaTuntlqL0LhXRT9ZYrasmL6MWMhwsQDPPUgwySytegfD+wzNOQVmzaFt7P4sqeBnwymOh0Pc7Q+6DpSFPOiyNcr3GX2TjIJbGbfxsGNtw4tor1k89Oh8eQX0W0xnecUA39xHU8DHti6KpBBK2twbMu4VKPT7FxgiaZOkMRmQ8wqompM96eTKpEFj7+o814HSrjzxSzBw1vG87M9PVoOjq0f/Vc9YeB4= | 
2021-12-12 10:32:52.2948 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:32:57.7381 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = p2CzFthvU5wBaTuntlqL0LhXRT9ZYrasmL6MWMhwsQDPPUgwySytegfD+wzNOQVmzaFt7P4sqeBnwymOh0Pc7Q+6DpSFPOiyNcr3GX2TjIJbGbfxsGNtw4tor1k89Oh8 | 
2021-12-12 10:32:57.7381 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | dataReturn =p2CzFthvU5wBaTuntlqL0LhXRT9ZYrasmL6MWMhwsQDPPUgwySytegfD+wzNOQVmzaFt7P4sqeBnwymOh0Pc7Q+6DpSFPOiyNcr3GX2TjIJbGbfxsGNtw4tor1k89Oh8 | 
2021-12-12 10:37:58.0135 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:37:57","MessageId":"b0956efe-2d0e-4c6a-9487-b8a859e6de88","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:37:58.0714 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:38:06.0817 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:38:03","MessageId":"898a199e-64d8-4971-addb-1b16cc87fd4e","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"6NTHXXB6U1KWIA4CKEHL-47B33PPPK-LSFBXP6FS8V3MUA0UQF66DSVBQSO4IWRJ1-DD9GYP9ZNPAUS3C5-KPEH-UAH8RLKMEUWU7XWKRQ7OEGA7-W2OXH5X2ET8-19Y"} | 
2021-12-12 10:38:06.1467 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto ={"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:38:06","MessageId":"e39f5305-c6de-4475-9e97-0a7b00b7bc31","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"6NTHXXB6U1KWIA4CKEHL-47B33PPPK-LSFBXP6FS8V3MUA0UQF66DSVBQSO4IWRJ1-DD9GYP9ZNPAUS3C5-KPEH-UAH8RLKMEUWU7XWKRQ7OEGA7-W2OXH5X2ET8-19Y"} | 
