2021-12-12 10:32:44.1701 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:32:44.7259 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:32:43","MessageId":"1ac1c594-723b-4153-b90c-0e58120341b4","ClientId":"3276edd1-b248-4209-9b57-4f42a5a8ab35","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:32:44.8837 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:32:49.2458 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:32:52.2190 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:32:49","MessageId":"c43f746e-12c0-4d5a-821f-f346453ae94f","ClientId":"3276edd1-b248-4209-9b57-4f42a5a8ab35","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"-K6I28P0863MUHMV418VOZGZ4AQ6R8I0JSHWTMHOYCP33IHZOV8R0-0KEGO1STIAYCCBA0BRUT8LKN7W41S6-1AK37SN8Q7F4OF0FGZYUQ7HCOA2J381BMA7C3IDIZTD"} | 
2021-12-12 10:32:52.2988 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:32:52.3167 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:32:52","MessageId":"b9df6641-ec7f-47b3-950f-96d0dc295f4e","ClientId":"3276edd1-b248-4209-9b57-4f42a5a8ab35","TopicId":null,"Text":"AUTH1:p2CzFthvU5wBaTuntlqL0LhXRT9ZYrasmL6MWMhwsQDPPUgwySytegfD+wzNOQVmzaFt7P4sqeBnwymOh0Pc7Q+6DpSFPOiyNcr3GX2TjIJbGbfxsGNtw4tor1k89Oh8","Bag":null,"Token":"-K6I28P0863MUHMV418VOZGZ4AQ6R8I0JSHWTMHOYCP33IHZOV8R0-0KEGO1STIAYCCBA0BRUT8LKN7W41S6-1AK37SN8Q7F4OF0FGZYUQ7HCOA2J381BMA7C3IDIZTD"} | 
2021-12-12 10:32:52.3167 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:32:56.7905 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:32:57.7371 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =p2CzFthvU5wBaTuntlqL0LhXRT9ZYrasmL6MWMhwsQDPPUgwySytegfD+wzNOQVmzaFt7P4sqeBnwymOh0Pc7Q+6DpSFPOiyNcr3GX2TjIJbGbfxsGNtw4tor1k89Oh8eQX0W0xnecUA39xHU8DHti6KpBBK2twbMu4VKPT7FxgiaZOkMRmQ8wqompM96eTKpEFj7+o814HSrjzxSzBw1vG87M9PVoOjq0f/Vc9YeB4= | 
2021-12-12 10:32:57.7371 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: p2CzFthvU5wBaTuntlqL0LhXRT9ZYrasmL6MWMhwsQDPPUgwySytegfD+wzNOQVmzaFt7P4sqeBnwymOh0Pc7Q+6DpSFPOiyNcr3GX2TjIJbGbfxsGNtw4tor1k89Oh8 | 
2021-12-12 10:37:58.0714 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:37:58.1861 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:37:57","MessageId":"b0956efe-2d0e-4c6a-9487-b8a859e6de88","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:37:58.2479 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:38:03.4687 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:38:06.0817 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:38:03","MessageId":"898a199e-64d8-4971-addb-1b16cc87fd4e","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"6NTHXXB6U1KWIA4CKEHL-47B33PPPK-LSFBXP6FS8V3MUA0UQF66DSVBQSO4IWRJ1-DD9GYP9ZNPAUS3C5-KPEH-UAH8RLKMEUWU7XWKRQ7OEGA7-W2OXH5X2ET8-19Y"} | 
2021-12-12 10:38:06.1507 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:38:06.1720 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:38:06","MessageId":"e39f5305-c6de-4475-9e97-0a7b00b7bc31","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH1:Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdE","Bag":null,"Token":"6NTHXXB6U1KWIA4CKEHL-47B33PPPK-LSFBXP6FS8V3MUA0UQF66DSVBQSO4IWRJ1-DD9GYP9ZNPAUS3C5-KPEH-UAH8RLKMEUWU7XWKRQ7OEGA7-W2OXH5X2ET8-19Y"} | 
2021-12-12 10:38:06.1720 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:38:07.0797 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:38:08.0346 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdEZN1to4KGAqFWJXSWjAyP5GAQhPm4myKRck7sIupFAXoBqt/22d61LOVKESv5MZ5GksdIQNoxLMxJjO/6r4JhIBVILnKVML8eWu05t99PxA4= | 
2021-12-12 10:38:08.0346 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdE | 
2021-12-12 10:46:27.6419 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:46:27.7008 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:27","MessageId":"b13c6810-30e7-47e9-ae40-b042869f1c58","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:46:27.7496 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:46:31.2995 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:46:34.2501 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:31","MessageId":"a6972925-d349-4a1b-9847-327481f471e6","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"3SY8BB7570E4XF8DAPWACCT5UO65ER2KXM54MSVFT61EDUZTY7-I84Z094NYFC0P84GKLE2S5RRHMO1A0NGHSUN4XE5SE8-RFLGJOOIUFRNQMSOVCN836S8ORNXGJJO7"} | 
2021-12-12 10:46:34.3241 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:46:34.3442 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:34","MessageId":"29ce2163-25dd-4808-9698-e67cf851552f","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH1:M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ","Bag":null,"Token":"3SY8BB7570E4XF8DAPWACCT5UO65ER2KXM54MSVFT61EDUZTY7-I84Z094NYFC0P84GKLE2S5RRHMO1A0NGHSUN4XE5SE8-RFLGJOOIUFRNQMSOVCN836S8ORNXGJJO7"} | 
2021-12-12 10:46:34.3442 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:46:35.8958 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:46:36.9899 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQvIKkkW+XthqWixGS9fRrPdlR0wSX4vQ37kKfeAxKlBdekNNl/DwM8pnYrws/WplIPkQv1yKD+cHWCyY4V5/CNTIWUsMY8WXOOIeTFuEEYuA= | 
2021-12-12 10:46:36.9909 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ | 
2021-12-12 10:46:46.8715 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:46:46.8905 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:41","MessageId":"e73df6fe-2e26-4543-9e3b-f14c17e62e16","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":null,"Token":"M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ"} | 
2021-12-12 10:46:46.8905 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:46:52.9733 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:48:59.5530 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:50","MessageId":"9345ad26-34cc-429c-8f9e-eaa85c257a5c","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":"206d76fb-7d6e-483d-9550-721152aca8fc","Token":"M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ"} | 
2021-12-12 10:54:48.4282 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:54:48.5485 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:47","MessageId":"57d567f8-52ae-4a00-9fd5-257926235da0","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:54:48.5745 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:54:51.7870 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:54:53.7368 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:51","MessageId":"8095083a-0c78-44b8-809d-291bf0b66d24","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"OZZRO6SZUN99E5N8B36B8C-69YV0NTTBT1MSO8MJF0P5UAFPHT4MPNPMZ3T1K2LA58QNT6UEQW7HXFL9TGT5ZGXGLA3VOW9NOOAXU26M-Z63QHZUSVIDJRMYKKBTC905"} | 
2021-12-12 10:54:53.8034 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
