2021-12-12 10:31:16.7076 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-12 10:31:16.7346 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:32:44.1701 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:32:52.2988 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:37:49.5593 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-12 10:37:49.5902 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:37:58.0714 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:38:06.1507 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:46:16.9407 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-12 10:46:16.9696 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:46:27.6419 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:46:34.3241 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:46:46.8715 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:50:57.7986 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-12 10:50:57.8562 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:54:48.4282 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:54:53.8034 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-12 10:55:01.8927 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
